epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.19309287815566784, 0.4097682119205298) (0.17834710006154308, 0.38311258278145693)
40 (0.24442105804036754, 0.46274834437086093) (0.23066320219183667, 0.44470198675496686)
60 (0.2645496885062381, 0.48874172185430464) (0.25244384340254, 0.46357615894039733)
80 (0.32330664360028954, 0.5745033112582781) (0.30275211601203883, 0.5485099337748345)
100 (0.376605655962506, 0.6380794701986755) (0.3549547048647867, 0.6150662251655629)
120 (0.41892791953691616, 0.6930463576158941) (0.39667619854324365, 0.6630794701986755)
140 (0.446638232884711, 0.7162251655629139) (0.4171187765025653, 0.6837748344370861)
160 (0.4722191686231699, 0.7438741721854305) (0.4357512474855585, 0.7048013245033112)
180 (0.4863905294886455, 0.7596026490066226) (0.456122700552601, 0.7230132450331126)
200 (0.5013097122301665, 0.7731788079470199) (0.4686327925542082, 0.7397350993377484)
220 (0.5184672571608318, 0.7874172185430464) (0.4817346733904089, 0.7539735099337749)
240 (0.5264022349337745, 0.7922185430463576) (0.4931258210981263, 0.7586092715231788)
260 (0.5321650683829657, 0.7985099337748345) (0.5028289974417787, 0.7642384105960265)
280 (0.5384473912198563, 0.8074503311258279) (0.5097944351323538, 0.7695364238410596)
300 (0.5547633093125679, 0.8112582781456954) (0.5225876321154069, 0.7834437086092715)
320 (0.5616704092651684, 0.8182119205298013) (0.5308397988460808, 0.7932119205298013)
340 (0.5704392672081159, 0.822682119205298) (0.5358972929754111, 0.793046357615894)
360 (0.5748069997595787, 0.8289735099337748) (0.5400457030312878, 0.7950331125827814)
380 (0.5813596513178401, 0.8304635761589404) (0.544198865141185, 0.7993377483443709)
400 (0.586518021334289, 0.8365894039735099) (0.5511985532333759, 0.8026490066225166)
420 (0.5895209535108271, 0.8327814569536424) (0.5528395569699787, 0.8026490066225166)
440 (0.5907711588601683, 0.8369205298013245) (0.5566779125074918, 0.8031456953642384)
460 (0.5980544103774772, 0.8379139072847682) (0.559593561440363, 0.8077814569536423)
480 (0.6014907925070178, 0.8438741721854305) (0.5657631058094231, 0.81341059602649)
500 (0.6033983629995544, 0.8451986754966887) (0.5683332015353413, 0.8124172185430464)
520 (0.6033331983899959, 0.8432119205298013) (0.5747126553656002, 0.8170529801324503)
540 (0.6056899832199668, 0.845364238410596) (0.576281560497461, 0.8135761589403974)
560 (0.610575102292358, 0.8473509933774834) (0.5758153488689717, 0.8160596026490067)
580 (0.6130697116402589, 0.847682119205298) (0.577857448674436, 0.8172185430463577)
600 (0.611155785075206, 0.8456953642384106) (0.5786045895351429, 0.8167218543046357)
620 (0.6176366560244372, 0.8508278145695364) (0.5797400829158541, 0.8200331125827814)
640 (0.6128838987795918, 0.8470198675496688) (0.5811157585056683, 0.8182119205298013)
660 (0.6185040098066982, 0.8506622516556291) (0.582873655867309, 0.8198675496688742)
680 (0.6147386133444707, 0.8518211920529801) (0.5866322871122107, 0.8231788079470199)
700 (0.6171133288771714, 0.8506622516556291) (0.5802039397593961, 0.8200331125827814)
720 (0.6195129319999977, 0.8506622516556291) (0.5826166871026436, 0.8213576158940398)
740 (0.6199291207554188, 0.8506622516556291) (0.5900035316320369, 0.8233443708609272)
760 (0.6190898706426082, 0.8516556291390729) (0.5840774388038782, 0.8208609271523178)
780 (0.6219285315596548, 0.8521523178807947) (0.5886343584443606, 0.8228476821192053)
800 (0.6202396749250944, 0.8508278145695364) (0.5854958616407405, 0.8264900662251655)
820 (0.6216941736807886, 0.8571192052980132) (0.5891590602321047, 0.8233443708609272)
840 (0.6233606857932784, 0.8528145695364239) (0.5901558549439035, 0.8225165562913908)
860 (0.6268120161453501, 0.855794701986755) (0.5868827325567417, 0.821523178807947)
880 (0.627816335598002, 0.8516556291390729) (0.5877338073689642, 0.8218543046357616)
900 (0.6263205201357004, 0.8556291390728477) (0.5884524406757815, 0.8228476821192053)
920 (0.6273745346968795, 0.8554635761589404) (0.5896260461438849, 0.8228476821192053)
940 (0.6300132379428844, 0.8562913907284768) (0.5884204549498413, 0.8205298013245033)
960 (0.6293796316390952, 0.8567880794701986) (0.5906200075043255, 0.8228476821192053)
980 (0.632134075462207, 0.859271523178808) (0.5911074079669858, 0.822682119205298)
1000 (0.6256088561558086, 0.8567880794701986) (0.5916177917616503, 0.8235099337748344)
