epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.18917669207632984, 0.3945364238410596) (0.1742236634006782, 0.37682119205298015)
40 (0.24085626863601883, 0.46192052980132453) (0.22957125132357634, 0.44039735099337746)
60 (0.26824721429130866, 0.4990066225165563) (0.2573152413700367, 0.48029801324503313)
80 (0.2971219856995076, 0.5455298013245033) (0.2797127055628155, 0.5155629139072848)
100 (0.32777658968036255, 0.58841059602649) (0.304326800712807, 0.5554635761589404)
120 (0.3666284078331004, 0.6344370860927152) (0.3433688773508412, 0.6054635761589404)
140 (0.40676476953529545, 0.6748344370860927) (0.37881343436828047, 0.6402317880794702)
160 (0.43467187644865074, 0.7110927152317881) (0.40811462366284257, 0.6720198675496689)
180 (0.460688050794297, 0.7379139072847682) (0.42907492440835837, 0.7036423841059603)
200 (0.4758901352973318, 0.7501655629139072) (0.44951330160662734, 0.7236754966887418)
220 (0.4876355969516152, 0.7683774834437086) (0.45909032278238454, 0.7347682119205298)
240 (0.5017569482005931, 0.7756622516556292) (0.4700957744115764, 0.743046357615894)
260 (0.5149776511509986, 0.7841059602649006) (0.4814665554022923, 0.756953642384106)
280 (0.5268546251210036, 0.793046357615894) (0.4953729205382341, 0.765728476821192)
300 (0.5410167380319622, 0.8031456953642384) (0.5070194571196693, 0.7698675496688742)
320 (0.5467511799765883, 0.8087748344370861) (0.5173600773047644, 0.7821192052980133)
340 (0.5553601480819508, 0.8125827814569536) (0.5255964791414308, 0.7875827814569536)
360 (0.5611049959313537, 0.8201986754966888) (0.5313512640932196, 0.7908940397350993)
380 (0.5675357397577588, 0.8236754966887417) (0.5318512961380468, 0.7917218543046357)
400 (0.5712176355300977, 0.8278145695364238) (0.5380683949571076, 0.7961920529801324)
420 (0.5736751454851227, 0.8246688741721855) (0.5421002969923103, 0.7986754966887417)
440 (0.5790036696465015, 0.8311258278145696) (0.5459107351692334, 0.7970198675496689)
460 (0.5818202651976934, 0.8349337748344371) (0.5473121613688767, 0.7971854304635762)
480 (0.5832503534263713, 0.8347682119205299) (0.5533236946075217, 0.8036423841059602)
500 (0.5937491110292413, 0.8372516556291391) (0.5581012293334291, 0.8048013245033112)
520 (0.5901802933941178, 0.8360927152317881) (0.5578146819372705, 0.8043046357615894)
540 (0.5940873250955925, 0.8428807947019867) (0.5592392492082029, 0.8066225165562914)
560 (0.5939540156815236, 0.8397350993377484) (0.5632270611121661, 0.8061258278145695)
580 (0.5971282946048816, 0.8418874172185431) (0.560746922061175, 0.8099337748344371)
600 (0.5998801470979404, 0.8420529801324503) (0.5654947857922553, 0.8100993377483444)
620 (0.6022536057217214, 0.8428807947019867) (0.5702196930910103, 0.8100993377483444)
640 (0.6070882148950111, 0.8466887417218543) (0.5700030274646143, 0.8082781456953643)
660 (0.6066454418475303, 0.8425496688741722) (0.5758379940052891, 0.8135761589403974)
680 (0.6084918487508214, 0.8480132450331126) (0.5724305356318894, 0.8160596026490067)
700 (0.6118198047660678, 0.8470198675496688) (0.5759370468344039, 0.812251655629139)
720 (0.6137146617669972, 0.8509933774834437) (0.5777947614513844, 0.8165562913907285)
740 (0.6116523724144006, 0.8480132450331126) (0.5792914158586264, 0.8173841059602649)
760 (0.6156841568573626, 0.8478476821192052) (0.5794306284334546, 0.813907284768212)
780 (0.6165773768788197, 0.8486754966887418) (0.5797975935886491, 0.8142384105960265)
800 (0.6157321559004079, 0.8501655629139073) (0.5807031207334437, 0.8175496688741721)
820 (0.6163901433861909, 0.8498344370860927) (0.5777338920998804, 0.8175496688741721)
840 (0.6190498938740644, 0.8498344370860927) (0.5860322851523216, 0.8248344370860927)
860 (0.6190483962237161, 0.8503311258278146) (0.5842965923303616, 0.8205298013245033)
880 (0.620650035860331, 0.8498344370860927) (0.585268959978716, 0.8208609271523178)
900 (0.6186456408925786, 0.8490066225165563) (0.58674720334013, 0.8193708609271523)
920 (0.6182262203669102, 0.848841059602649) (0.5836817558309347, 0.8213576158940398)
940 (0.6188394556343544, 0.8486754966887418) (0.5870458111195987, 0.8231788079470199)
960 (0.620609597333229, 0.8521523178807947) (0.5864592312789131, 0.8187086092715232)
980 (0.6229749020373856, 0.8506622516556291) (0.588727950607334, 0.821523178807947)
1000 (0.6236612355373631, 0.8506622516556291) (0.5884386835960828, 0.8201986754966888)
